provOrigin,destination,total,nbr_pourcentage
NL,PE,125,1
NL,NS,999,10
NL,NB,363,3
NL,QC,274,2
NL,ON,2530,25
NL,MB,192,1
NL,SK,158,1
NL,AB,4433,44
NL,BC,650,6
NL,YT,40,0
NL,NT,59,0
NL,NU,149,1
PE,NS,602,14
PE,NB,661,16
PE,QC,176,4
PE,ON,1288,31
PE,MB,46,1
PE,SK,79,1
PE,AB,859,21
PE,BC,240,5
PE,YT,60,1
PE,NT,13,0
PE,NU,34,0
NS,PE,647,3
NS,NB,2661,13
NS,QC,588,2
NS,ON,6409,31
NS,MB,365,1
NS,SK,445,2
NS,AB,7280,35
NS,BC,1690,8
NS,YT,49,0
NS,NT,202,0
NS,NU,51,0
NB,PE,385,2
NB,NS,2686,18
NB,QC,1510,10
NB,ON,3826,26
NB,MB,366,2
NB,SK,268,1
NB,AB,4233,29
NB,BC,907,6
NB,YT,0,0
NB,NT,7,0
NB,NU,66,0
QC,PE,196,0
QC,NS,917,2
QC,NB,1693,5
QC,ON,19492,58
QC,MB,693,2
QC,SK,574,1
QC,AB,6647,19
QC,BC,3003,8
QC,YT,81,0
QC,NT,45,0
QC,NU,172,0
ON,PE,1083,1
ON,NS,5984,6
ON,NB,3232,3
ON,QC,15552,17
ON,MB,4768,5
ON,SK,5069,5
ON,AB,36680,41
ON,BC,14195,16
ON,YT,309,0
ON,NT,540,0
ON,NU,380,0
MB,PE,45,0
MB,NS,383,2
MB,NB,271,1
MB,QC,638,3
MB,ON,4877,26
MB,SK,2771,14
MB,AB,6376,34
MB,BC,3029,16
MB,YT,16,0
MB,NT,44,0
MB,NU,97,0
SK,PE,70,0
SK,NS,252,1
SK,NB,198,0
SK,QC,441,2
SK,ON,3257,15
SK,MB,2230,10
SK,AB,11633,53
SK,BC,3343,15
SK,YT,80,0
SK,NT,83,0
SK,NU,13,0
AB,PE,294,0
AB,NS,2365,4
AB,NB,1703,2
AB,QC,2438,4
AB,ON,14263,25
AB,MB,3301,5
AB,SK,9934,17
AB,BC,21661,37
AB,YT,364,0
AB,NT,541,0
AB,NU,160,0
BC,PE,235,0
BC,NS,1218,2
BC,NB,594,1
BC,QC,2378,4
BC,ON,12823,22
BC,MB,2355,4
BC,SK,3879,6
BC,AB,32853,57
BC,YT,486,0
BC,NT,401,0
BC,NU,156,0
YT,PE,0,0
YT,NS,76,4
YT,NB,21,1
YT,QC,72,4
YT,ON,227,12
YT,MB,34,1
YT,SK,69,3
YT,AB,408,23
YT,BC,760,43
YT,NT,81,4
YT,NU,10,0
NT,PE,49,1
NT,NS,153,5
NT,NB,68,2
NT,QC,118,4
NT,ON,291,10
NT,MB,8,0
NT,SK,174,6
NT,AB,1207,42
NT,BC,389,13
NT,YT,305,10
NT,NU,66,2
NU,PE,17,1
NU,NS,30,2
NU,NB,36,3
NU,QC,27,2
NU,ON,411,39
NU,MB,117,11
NU,SK,55,5
NU,AB,207,19
NU,BC,37,3
NU,YT,21,2
NU,NT,88,8
